,county_name,state_name,state_fips,county_pop_2009,county_median_hh_inc_2009,county_pct_pop_in_poverty_2009,county_pct_pop_25_over_w_bachelors_or_higher_2009,county_fips,pct_change_median_hh_inc_2009_2016,county_emp_2009,pct_chg_emp_2009_2016,county_pct_emp_mfg_2009,county_unemp_rate_2009,pct_chg_cty_unemp_rate_2009_2016,pct_county_votes_Obama_2008,pct_state_votes_Obama_2008,state_tax_burden_rate_2009,county_pop_density_2009
0,Autauga County,Alabama,1,53944,53899,10.878692317739919,21.624591538706227,1001,9.066958570659938,10628.0,1.524275498682725,16.465939028980053,9.723515362506578,-47.679189843017035,25.773021445793326,38.74043429457492,9.1,90.7482050212302
1,Baldwin County,Alabama,1,179523,51321,12.467343403508574,27.21494576134994,1003,9.043081779388555,52233.0,17.437252311756936,7.523979093676411,9.760948927241635,-45.4139861120034,23.811921928930268,38.74043429457492,9.1,112.92288763756586
2,Barbour County,Alabama,1,27546,34041,24.71759447379114,13.897696047347283,1005,0.42595693428512676,7990.0,-14.180225281602002,47.00876095118899,14.305708287513747,-41.865847187736186,48.9853826311264,38.74043429457492,9.1,31.12978541626171
4,Blount County,Alabama,1,57140,45404,13.708269403735253,11.29883294778156,1009,7.248260065192494,6968.0,-9.78760045924225,20.077497129735935,10.0,-46.18852292571985,14.513536901965631,38.74043429457492,9.1,88.61992381850442
7,Calhoun County,Alabama,1,117614,39467,20.412572304690222,15.83105011138709,1015,14.518458458965718,38324.0,-6.473750130466549,17.17200709738023,11.119146963375059,-41.29991501748845,33.1708703951911,38.74043429457492,9.1,194.12479285917064
8,Chambers County,Alabama,1,34375,32186,20.956424317471548,10.539174389216512,1017,23.87994780339278,6241.0,0.5608075628905624,17.433103669283767,19.610921501706486,-72.20348430995395,45.46001604707141,38.74043429457492,9.1,57.62483425002222
9,Cherokee County,Alabama,1,25819,37833,20.781836130306022,11.301921219276592,1019,8.408003594745328,3600.0,8.472222222222221,32.22222222222222,11.685660826671203,-56.80925381091199,23.66341713699333,38.74043429457492,9.1,46.629944013003424
10,Chilton County,Alabama,1,43444,40418,17.382503489995347,12.376392214010616,1021,11.786827651046563,7048.0,7.959704880817253,19.96311010215664,10.64541013113911,-48.58112681869517,20.657857745290976,38.74043429457492,9.1,62.70296483819102
12,Clarke County,Alabama,1,26046,29668,27.22588144130182,13.183111678959289,1025,21.77093164352164,6944.0,-1.7713133640552996,25.388824884792626,16.539832386089973,-34.42439043863034,44.019352437662825,38.74043429457492,9.1,21.03087289507576
15,Coffee County,Alabama,1,49221,42065,17.730100659349745,21.301163815369655,1031,26.363960537263758,12499.0,7.112569005520442,25.242019361548923,8.509050195932078,-31.13749180541136,25.233505564387915,38.74043429457492,9.1,72.49341651791238
16,Colbert County,Alabama,1,54478,40247,16.4837613503426,17.37734259844178,1033,18.165329092851643,19703.0,14.063848144952546,21.31655077906918,11.61957975918785,-40.319952783467606,39.05727971662037,38.74043429457492,9.1,91.92752847951213
19,Covington County,Alabama,1,37736,33544,21.569313593539704,12.905568081935263,1039,21.03803958979251,10810.0,-5.7631822386679,19.907493061979647,10.80806268317483,-37.578371628857894,20.523215303730918,38.74043429457492,9.1,36.62068055307553
21,Cullman County,Alabama,1,80246,38703,17.577059120768066,14.16167007897046,1043,9.96046818076118,22761.0,11.040815429902025,21.290804446201836,10.255079533954381,-51.61733005915338,16.609545390171363,38.74043429457492,9.1,109.20185455084841
22,Dale County,Alabama,1,49920,45491,15.51634557432924,17.58147774825132,1045,1.03097315952606,13221.0,-15.694728084108615,4.757582633688829,9.64907901961763,-40.18061003192814,27.277432712215322,38.74043429457492,9.1,88.96017107725207
23,Dallas County,Alabama,1,43868,26909,34.697123363451965,13.595521643015047,1047,17.44026162250548,11745.0,-10.710940825883355,32.158365261813536,21.12427527098563,-56.47138441357293,67.07270285823903,38.74043429457492,9.1,44.82295301396247
24,DeKalb County,Alabama,1,70608,36853,19.798720169498804,10.707694948714648,1049,6.458090250454508,17512.0,1.3305162174508909,40.30950205573321,14.25849157528751,-57.56007901066837,23.560274828232355,38.74043429457492,9.1,90.86171153259647
25,Elmore County,Alabama,1,78641,54831,12.395691093915946,21.234323557957637,1051,8.236216738706206,14374.0,-0.10435508557117017,22.1580631696118,9.474609804352605,-49.876481162148444,24.190587206760892,38.74043429457492,9.1,127.15102225599651
26,Escambia County,Alabama,1,38081,31638,23.71271407508223,11.787743818153894,1053,10.626461849674442,9769.0,2.92762821169004,14.791687992629747,13.494106489635552,-50.89057609321832,35.35504974785334,38.74043429457492,9.1,40.293943369873446
27,Etowah County,Alabama,1,104216,37772,17.984029399978496,15.317237507018529,1055,16.549295774647888,29773.0,3.5636314781849325,15.487186376918684,11.457337808103482,-48.49162903503895,30.16965822473568,38.74043429457492,9.1,194.79953868382833
29,Franklin County,Alabama,1,31532,35831,20.107402405299375,11.390841725251757,1059,12.916189891434792,8984.0,7.3686553873552985,41.74087266251113,13.421450151057401,-56.27929180280683,29.667322329598907,38.74043429457492,9.1,49.74906164358707
30,Geneva County,Alabama,1,26646,35237,19.11249809712285,10.265994907633132,1061,8.244175156795414,4199.0,-6.311026434865444,17.861395570373897,10.767027655956324,-46.37636086842171,18.306596894569786,38.74043429457492,9.1,46.38862968482333
34,Houston County,Alabama,1,100310,41766,17.115433190199546,18.826958539051812,1069,8.930709189292726,43725.0,0.16923956546598057,11.261292166952543,9.291331721238263,-37.87028003582992,29.2919611836588,38.74043429457492,9.1,173.00077264825185
35,Jackson County,Alabama,1,53357,36383,17.143669985775247,13.499045005783767,1071,9.435725476183933,11137.0,19.053605100116727,40.019753973242345,12.760712931361395,-50.67115126108933,30.535594519497938,38.74043429457492,9.1,49.50235093722051
36,Jefferson County,Alabama,1,657486,45750,16.192530924261593,28.953298553636458,1073,13.615300546448088,325281.0,-3.1631112791709324,8.098536342423936,10.750835455901608,-46.7733832127406,52.153369918750236,38.74043429457492,9.1,591.6495991994788
38,Lauderdale County,Alabama,1,92269,39702,17.382492358126967,21.58673657543252,1077,16.530653367588535,25727.0,-0.6374625879426283,15.897695028569208,10.655737704918032,-40.43052653818164,34.98057946672265,38.74043429457492,9.1,138.1899274670996
