                               Labor Force Data by County, 2016 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2016        25,966       24,645      1,321      5.1
CN0100300000000   01     003   Baldwin County, AL                                2016        90,670       85,839      4,831      5.3
CN0100500000000   01     005   Barbour County, AL                                2016         8,417        7,717        700      8.3
CN0100700000000   01     007   Bibb County, AL                                   2016         8,623        8,067        556      6.4
CN0100900000000   01     009   Blount County, AL                                 2016        24,623       23,298      1,325      5.4
CN0101100000000   01     011   Bullock County, AL                                2016         4,833        4,503        330      6.8
CN0101300000000   01     013   Butler County, AL                                 2016         9,206        8,571        635      6.9
CN0101500000000   01     015   Calhoun County, AL                                2016        45,902       42,906      2,996      6.5
CN0101700000000   01     017   Chambers County, AL                               2016        15,006       14,188        818      5.5
CN0101900000000   01     019   Cherokee County, AL                               2016        11,353       10,780        573      5.0
CN0102100000000   01     021   Chilton County, AL                                2016        19,219       18,167      1,052      5.5
CN0102300000000   01     023   Choctaw County, AL                                2016         4,334        3,966        368      8.5
CN0102500000000   01     025   Clarke County, AL                                 2016         7,966        7,102        864     10.8
CN0102700000000   01     027   Clay County, AL                                   2016         5,634        5,300        334      5.9
CN0102900000000   01     029   Cleburne County, AL                               2016         5,796        5,450        346      6.0
CN0103100000000   01     031   Coffee County, AL                                 2016        20,633       19,424      1,209      5.9
CN0103300000000   01     033   Colbert County, AL                                2016        23,491       21,862      1,629      6.9
CN0103500000000   01     035   Conecuh County, AL                                2016         4,556        4,173        383      8.4
CN0103700000000   01     037   Coosa County, AL                                  2016         4,387        4,126        261      5.9
CN0103900000000   01     039   Covington County, AL                              2016        15,519       14,472      1,047      6.7
CN0104100000000   01     041   Crenshaw County, AL                               2016         6,463        6,085        378      5.8
CN0104300000000   01     043   Cullman County, AL                                2016        37,971       36,087      1,884      5.0
CN0104500000000   01     045   Dale County, AL                                   2016        19,993       18,839      1,154      5.8
CN0104700000000   01     047   Dallas County, AL                                 2016        15,443       14,023      1,420      9.2
CN0104900000000   01     049   DeKalb County, AL                                 2016        29,283       27,511      1,772      6.1
CN0105100000000   01     051   Elmore County, AL                                 2016        37,292       35,521      1,771      4.7
CN0105300000000   01     053   Escambia County, AL                               2016        14,577       13,611        966      6.6
CN0105500000000   01     055   Etowah County, AL                                 2016        43,345       40,787      2,558      5.9
CN0105700000000   01     057   Fayette County, AL                                2016         6,607        6,163        444      6.7
CN0105900000000   01     059   Franklin County, AL                               2016        13,889       13,074        815      5.9
CN0106100000000   01     061   Geneva County, AL                                 2016        10,825       10,200        625      5.8
CN0106300000000   01     063   Greene County, AL                                 2016         2,876        2,591        285      9.9
CN0106500000000   01     065   Hale County, AL                                   2016         5,991        5,534        457      7.6
CN0106700000000   01     067   Henry County, AL                                  2016         6,733        6,295        438      6.5
CN0106900000000   01     069   Houston County, AL                                2016        44,624       42,048      2,576      5.8
CN0107100000000   01     071   Jackson County, AL                                2016        23,623       22,136      1,487      6.3
CN0107300000000   01     073   Jefferson County, AL                              2016       311,710      293,873     17,837      5.7
CN0107500000000   01     075   Lamar County, AL                                  2016         5,699        5,379        320      5.6
CN0107700000000   01     077   Lauderdale County, AL                             2016        42,599       39,895      2,704      6.3
CN0107900000000   01     079   Lawrence County, AL                               2016        13,742       12,795        947      6.9
CN0108100000000   01     081   Lee County, AL                                    2016        72,474       68,690      3,784      5.2
CN0108300000000   01     083   Limestone County, AL                              2016        40,753       38,621      2,132      5.2
CN0108500000000   01     085   Lowndes County, AL                                2016         3,806        3,405        401     10.5
CN0108700000000   01     087   Macon County, AL                                  2016         7,881        7,282        599      7.6
CN0108900000000   01     089   Madison County, AL                                2016       173,846      164,964      8,882      5.1
CN0109100000000   01     091   Marengo County, AL                                2016         7,684        7,136        548      7.1
CN0109300000000   01     093   Marion County, AL                                 2016        12,517       11,690        827      6.6
CN0109500000000   01     095   Marshall County, AL                               2016        41,652       39,434      2,218      5.3
CN0109700000000   01     097   Mobile County, AL                                 2016       188,082      175,642     12,440      6.6
CN0109900000000   01     099   Monroe County, AL                                 2016         7,326        6,664        662      9.0
CN0110100000000   01     101   Montgomery County, AL                             2016       105,928       99,944      5,984      5.6
CN0110300000000   01     103   Morgan County, AL                                 2016        54,957       51,923      3,034      5.5
CN0110500000000   01     105   Perry County, AL                                  2016         3,472        3,115        357     10.3
CN0110700000000   01     107   Pickens County, AL                                2016         7,779        7,246        533      6.9
CN0110900000000   01     109   Pike County, AL                                   2016        14,973       14,002        971      6.5
CN0111100000000   01     111   Randolph County, AL                               2016         9,444        8,918        526      5.6
CN0111300000000   01     113   Russell County, AL                                2016        23,571       22,264      1,307      5.5
CN0111500000000   01     115   St. Clair County, AL                              2016        39,145       37,122      2,023      5.2
CN0111700000000   01     117   Shelby County, AL                                 2016       109,762      105,053      4,709      4.3
CN0111900000000   01     119   Sumter County, AL                                 2016         5,119        4,726        393      7.7
CN0112100000000   01     121   Talladega County, AL                              2016        34,872       32,576      2,296      6.6
CN0112300000000   01     123   Tallapoosa County, AL                             2016        18,611       17,575      1,036      5.6
